,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,class
0,1.0748795518610428,-0.7293249424209869,1.0482401408522968,0.15855443174438455,0.5916868915476348,1.4341672670624455,1.2572854125008444,-0.018218471107844175,-0.4942424545448059,0.3463594623449218,1.1485141519900022,0.23815916807883422,0.6714181080117197,1.2572854125008444,-0.1784183942549505,0.48258269481010224,0.09357315313026474,1.2572854125008444,0.9934211696581907,-0.23973620873071072,-0.051514742481833506,0.8966652322544707,0.8522899399948135,1.2072527659825072,0.6028813468924208,0.37947518897997223,-0.13842755009451366,0.7096459202037437,2.4073245066044957,-0.35496288639497964,0.8544154888567451,-0.06542742602349375,-0.30653909738579554,-0.5944579333410185,0.8717182574203223,-0.20043648434901878,5.144165527914837,-0.12967412238068124,0.6653597508687555,0.43872755520237455,-0.10178097817335388,0.7456203106016264,0.06171704917757507,0.3364584852278854,-0.050885481236095244,0.4091818634805877,-0.17888863048699064,0.7270559787156009,0.7006738541166564,0.7437892186025179,-0.18880057393165012,-0.06493834111036464,0.6789939244628752,0.45957262917412606,1.4080592277442412,0.2947495358972616,0.47391777092565096,-0.3053256405439591,-0.23198173483778853,-0.09178107952903217,-0.5933263883730652,-0.16404190215988498,-0.26678539958164754,-0.02137003876341835,0
9,0.376765188870935,-0.2187644757724276,0.07301864215213699,-0.18928014670810486,0.046592847240548275,-0.4244411231786628,0.48586607684316724,-0.18035683289688662,0.5857431667692541,0.31054183713572486,0.5417475710893979,0.09978941126879973,0.11202931366895809,0.48586607684316724,-0.15498558292147283,0.026412472736770182,-0.2056509744827063,0.48586607684316724,0.18045945989072365,-0.2819643396314259,-0.05256391792259933,0.46091736439594155,0.12864436111490338,0.1746435930266442,0.41285959145695156,-0.005068858347878895,0.004545995684230451,-0.25870375295322007,1.0503472977542982,-0.18797217909840652,0.17200160053181424,-0.10187186229204959,-0.006026464615063702,0.4685701799086903,3.7578109574829828,0.144345473213588,-0.26380638844108095,0.33453948709674264,2.123255738416588,-0.38795171448496923,-0.09667594525544296,0.18114717281041703,-0.5229134365200169,-0.5401691123982687,-0.055106144726361536,-0.32052510643119386,-0.06147606205115947,0.23528454921804284,0.16854352585928223,-0.37127830959506,-0.5214594531420842,-0.10228974480928572,-0.2225619468520446,-0.28722865924211344,-0.09352419546948189,1.3578576803535949,0.13686448774414772,-1.3706760172242656,-0.07819313899189077,-0.09029730500869401,0.2319774411216159,-0.5668914635064239,0.24579582115764248,-0.321357588383585,0
12,-1.2342038290124613,-2.133641560148065,-0.32346798852035813,2.9680957599241156,2.17765656934446,0.147766116706771,-1.2864471112827975,11.312313881656344,-1.6567241526658751,2.231133185666181,-0.8227016029810994,-3.4684197040338702,2.2180042434912313,-1.2864471112827975,-0.18697415667653014,0.8258274153480222,11.067933466588386,-1.2864471112827975,-4.634079438401687,-0.34676837675720734,-0.05709289418879722,-1.1637554411614066,-4.577941909627764,-0.8549409676024218,-0.4488439310189591,1.156180346020403,-0.1752053264424988,-0.41515227643421615,2.1358045143793065,-0.2569142432351437,-4.413805628006218,-0.13791722432775497,0.5302455982547185,0.3717992616957124,-0.9048214972558662,-1.7902254083197024,0.02633613143427093,1.852624760514907,-0.44227184491143295,5.46889301659206,-0.10789637968253302,-3.308597922103537,-0.41384661383308013,-0.304029949850092,-0.08653713428590848,3.9643855529052243,-0.3349191229308383,-0.8318984940036735,-7.565512242259463,1.0419050104134366,-1.7752141942826647,-0.13743526331681877,-0.1395251750499292,-0.35387682914653745,0.09344333441797532,-0.43407990468859275,-0.5965005306260402,2.3637361599087527,-0.23169380768801678,-0.08777519827403386,-0.11266557565276081,-0.622923747885079,0.36730229159808797,-0.6510353914640907,0
14,0.6077372772162151,1.1270045327439127,-0.8747742204991411,-0.7762246254312096,-0.3411937060658958,0.3472463784488109,0.40225223789755427,-0.549037469852966,-0.35300139714340656,-1.0505279208137723,0.2900879183243407,0.3637300895173471,1.3270490189036597,0.40225223789755427,-0.09802240165744897,-0.3340291083795458,-0.5657974660279582,0.40225223789755427,1.3363766700649904,-0.9415468971799833,0.15010536607454059,0.5828235299942705,1.5952395294558344,-0.26446114261401743,-0.6408473733593179,-0.2820151146971503,-0.11493037176530914,-0.5129483317207827,1.8960448882171559,0.9094711188935282,1.1784181380465693,-0.04356793130980736,-0.4229504312594946,-0.7427638103608551,0.5652662208087091,-1.0620014636866209,-0.2802407647745188,1.1368306307694311,1.516353109072572,-0.46739019907906276,-0.08464033254854693,1.655129458449354,-0.813111975106296,-0.33742311027065897,-0.022532733463353768,-0.5387447558575034,-0.6728259580009822,0.4364097607942953,1.063994021853059,-1.1345310478475066,-0.9742608917947876,-0.043087591573030194,-0.7332649594886486,-0.44030070731080756,-0.1929952388694424,0.9346930227009703,1.7677499445685982,-0.9548601890227801,2.2725085338010667,-0.026532194623920147,-0.07266434157442474,-0.13124448162952154,-0.29260705306169515,-0.5759531921912667,0
16,-0.614786707503565,-0.4578123053357461,1.9833304671560767,0.7966262332606472,0.6413138532035423,-0.4244411231786628,-0.5745463488386765,-0.058730763364117866,2.5364516587514605,0.5503014756189246,-0.17916558778428304,-0.3556932374647624,-0.6660215694735364,-0.5745463488386765,-0.11064629563343567,-0.28741786690770893,-0.08633892236740799,-0.5745463488386765,-0.5710009321480066,-0.7542533147925249,-0.05499785536822929,-0.08554401405432363,-0.547107880502278,0.003373172364424884,0.6666990048109771,-0.2877867130361728,-0.1329980740538894,5.573179392849163,-1.8767440863201124,-0.48046161263756165,-0.5882776128819603,-0.16843092883382704,1.6032711604453738,2.705434610920046,-0.11679957438336093,1.827216752648375,-0.23333712989742691,0.6429201454459319,-0.4197623107714436,0.9289764094379934,-0.09389057229051989,-0.4037628520827274,-0.8437476337454711,-0.5726226934001584,-0.05891796517393259,1.0452128890852053,-0.6090493951318404,-0.16013776855111858,-0.15347914076435398,0.7929898713432891,-0.46422172435119186,-0.1679508012353117,4.727639313838953,5.777754802060478,-0.08939525373712551,-0.4183577271102432,-0.3810338849802562,0.5243608536543978,-0.07884393323452554,-0.059178776356099215,0.29353480134161414,-0.8696027908339667,1.3025271191797059,4.161694889975814,0
19,-0.4986533530196388,0.11800653390118322,-0.6081229856060774,-0.5686912972845667,-0.7724038508212591,-0.4244411231786628,-0.5937678195234284,-0.31075195943251976,0.5521842915306815,-0.027231970216831967,-0.619219837245915,-0.4197111367886375,0.4911738979411564,-0.5937678195234284,-0.16281753391286335,0.1350841008021668,-0.33357412414550003,-0.5937678195234284,-0.4764931157154306,0.19932449003831448,-0.05350945790740356,-0.9445738334727246,-0.3976229923835187,-0.7312580915764453,-0.6199662650466908,0.23276079734632454,-0.16748172243373696,-0.4597344435063602,-0.6412035712403548,-0.12106389111619476,-0.24439468244774906,-0.024135459481619687,-0.5045539097193457,0.3105448790823359,-0.8985294858681991,0.11539431647168968,-0.2551352481063253,-0.25589665144987594,-0.669034559210585,-0.4276432160065606,-0.09650193465718498,-0.6984961488530255,-0.34485174970371424,-0.7410613497268661,-0.05891643594803032,-0.7129373818731153,0.3195407124932112,-1.7452985863904262,-1.2542919586786152,-0.4068232709628826,0.41936664188079475,-0.0236448838214428,-0.26599540016317264,-0.3912681613903528,-0.0932477674969231,1.1181552823939476,-0.26785382259071117,-1.0403725120948024,-0.1342074596130125,-0.10239420739473948,0.7015371888809544,-0.044375638062613174,-0.3543589157645718,-0.2869398510176495,0
22,0.04102690741719274,-0.36247261742326564,-0.08112927215853336,-0.3476552924167596,-0.24946624940381834,-0.4244411231786628,-0.10792461975349193,-0.1108381149336008,-0.09752457251575546,0.4546778962341862,-0.06386664084821052,-0.2380975832568712,0.11637254764656213,-0.10792461975349193,-0.13615091989934716,-0.14885370938053638,-0.13745292385254165,-0.10792461975349193,0.02585245174492181,0.4760827278379446,-0.05257353358346174,-0.0031347578605061773,0.154598497684999,-0.1347616648717163,-0.884723305330429,-0.07881504903708184,-0.045367326992349105,-0.28305220725701824,-0.2940191775120461,-0.14499760470278325,0.005139702070058501,-0.05130508480384687,-0.3852539571391033,0.44723485935779766,-0.3208489156469597,-0.4451078763428391,-0.0986321857623338,0.031129921501990718,-0.17550273402311106,-0.17174981985696344,-0.09311197715170316,0.12985193962079092,-0.040886554387172966,-0.5398389898998145,-0.05703710726860484,-0.47786161732763505,0.2529817818352974,-0.06790632743080072,0.016390975362670625,-0.17104169388965976,-0.09786538561649284,-0.05081710841616891,-0.08779080005126605,-0.286955230852762,-0.08441600694522026,-0.2477503561639332,-0.06468092873037211,0.14505422375487864,-0.21852870031706026,-0.10645012342168592,0.2314164378387494,0.0398473857481602,-0.4064302059315189,-0.3881679834256726,0
24,-0.031618963426692286,-1.0055634692087858,-0.13639465787388685,-0.27683656607190377,0.009513611685140033,1.6941091488141318,-0.16926203677093374,0.3909885411725006,-0.5739024109191951,1.099683669420295,-0.2836943171046619,-0.14494736571621117,-0.006817361536386113,-0.16926203677093374,-0.15950823692236427,0.08557099215698612,0.35480714450428513,-0.16926203677093374,-0.06206311092118006,-0.16082223021426292,-0.054625836133530045,-0.0720457237350731,0.05431211174269493,1.0538317524260372,1.2736089683860634,0.17575043256181086,-0.15375341679428542,-0.33950608632588497,-0.3038275258550438,-0.2899115244668997,-0.14273925186118905,-0.1076836862218881,0.04849621347094292,-0.695703342391753,-0.0741835880420584,-0.3609838080995454,-0.2345096224519208,0.8172542069993779,-0.005314615375380995,-0.1867853201537921,-0.09937178579636606,0.028829203543507844,-0.5327860037291604,-0.6766874625282826,-0.05602718849185251,-0.3785063115058868,-0.17451394378295748,-0.09233309416303404,-0.01828587996459421,-0.04372245373599037,-0.6400326612999115,-0.10720096089577232,-0.08641305371308593,-0.260979533864371,-0.08544049370136664,-0.13200476098680086,-0.19191557959138497,0.12784701963714923,-0.19762965934549936,-0.09426997734425771,0.5250761562701894,-0.41692586250640884,-0.00131353041739996,-0.4382520819661876,0
27,-0.8920610985697821,0.047652419372663055,-0.3043504162463625,-0.4733286429413447,0.21970374919507804,-0.4244411231786628,-0.09697623957476338,-0.28660888653865935,0.4348977174645596,0.04333163663949214,-0.1219283078299338,-0.30022785205066577,-0.4880082023096514,-0.09697623957476338,-0.04954260167198583,-0.4477790039982944,-0.3098590694023976,-0.09697623957476338,-0.14046909311111577,-0.9242081944260472,-0.051688892784119485,-0.032901542120930806,-0.6390785014228416,-0.3538479907310613,0.333078344582345,-0.7135280312667017,0.042404885316488165,-0.3369427388826869,0.3237510800278324,-0.10461683177959819,-0.2168122610759019,-0.05167972592040038,-0.38332821133474104,0.5605152518065852,-0.03596108895809896,0.014211485838388768,-0.1707102966981097,-0.2680001816345931,-0.11566726352440526,-0.469639975968496,-0.07110457038253351,-0.08911148543272851,0.01744399819058157,0.950613302544549,-0.059968183550932995,-0.10968000736952165,-0.7179640089356993,0.29267458331814095,0.23739171922477106,-0.23932015075440363,0.45441548723332875,-0.05119169269395177,-0.1154835014486863,-0.2583819641655319,-0.0799313473914126,-0.26861743760992834,-0.5069645782392774,0.3031360598451524,-0.16850234409610046,-0.0307829363115496,-0.8151096861996583,0.04078752474780197,-0.4069804700546138,-0.2343050138040457,0
28,-0.8582146154751087,0.31678156426009196,-1.0026625742279855,-0.7168972395875944,-0.23585570812799575,-0.4244411231786628,-2.222710203341171,-0.3718865575847158,0.11117321390055232,-0.22659888982199558,-1.2078587679209278,-0.8819140213231865,-1.2734327122277598,-2.222710203341171,-0.5706167851407196,-0.8597699471456319,-0.39352946642806214,-2.222710203341171,-1.670968791316245,-0.8162862102758152,-0.05166218261505722,-1.1016753500564287,-0.6134599786877042,-1.6414287205421632,-1.3117327958472382,-0.43710646567552325,-0.1703172040313195,-0.5577587237219426,-0.1707142269143684,0.025736429718785748,-1.4660224751744457,-0.06479542274861222,-0.3103665171719656,0.288828570664463,-0.9753105060060868,-0.2650648241465895,-0.26731563487758103,-0.03920023424992006,-0.7227070817778544,-0.42709949680763465,-0.046473526640182665,-0.8214783877931497,-0.6166462718395606,-0.15377342497671204,-0.05964118108034868,-0.48944061913392906,-0.6611768880419667,-0.8990953739270019,-0.7468749030516054,-0.7535673813908529,0.05837225336793846,-0.06430808819853945,-0.4792843107768358,-0.5237100374824777,-0.10072726581977114,-0.6299547977814486,-0.4836711538036975,1.2505048674225894,0.05582445923634642,-0.05094296433631717,-0.2674854816244597,-0.00018910507944562633,-0.3825446669586571,-0.439682563789609,0
31,1.1598145108873747,0.6282793376982824,0.07080802672352289,-0.30018494456891676,0.07960518799242383,-0.4244411231786628,0.8992557219787106,-0.4509348182224206,0.5382861714823841,-0.5390242052255808,1.0031383751197331,0.05338374868608909,0.28487028400496933,0.8992557219787106,-0.14004315749329968,-0.11967015883042983,-0.47107539300550794,0.8992557219787106,0.45631644597461063,-0.2780237253691677,-0.05104678031986261,1.0277767328697518,0.62780157483393,0.29348429307798024,-0.30568540109355025,-0.046790820008649724,0.02166329060716745,-0.198776303850359,0.15576365364539077,-0.08808134739280495,0.43106484634462094,-0.08630633833646187,-0.15943618975507298,0.2952630324179069,0.4212808066770464,0.10340444347757044,-0.2705788590854081,0.18367762872294544,0.1387653985080107,-0.14124883724374723,-0.09393124696701449,0.5612146240030356,-0.39395605698454406,-0.34143536832879573,-0.05197473985083597,-0.24785226465604193,-0.2456151736623002,0.6809512094070591,0.4994372055551179,-0.47473021269468574,-0.0010887230759131458,-0.08581992815121323,-0.3814160996442115,-0.11722455816282862,-0.0709568606330727,-0.0282442857076508,1.2738266104808156,-0.11926339427963825,0.4198879617171544,-0.09044121032624396,-0.06770031252602922,-0.2673228865491125,-0.17446330781794092,-0.23201279594241853,0
32,0.7555397982932159,0.3502326444155917,0.14656411698872276,-0.20018074510279474,0.30124987027967165,-0.4244411231786628,0.5353103744245222,-0.38127057522322,-0.004757446014516299,-0.26014957672681344,0.4765057590305453,0.045815152305754135,0.11647125750968931,0.5353103744245222,-0.11200052347056373,-0.2817460356143549,-0.4027391964253835,0.5353103744245222,0.5121753372377028,-0.3760306155692019,-0.05407464508476112,-0.9445738334727246,0.6892064764892324,-0.046073879696150614,0.039531797319247025,-0.22464289421739986,-0.16748172243373696,-0.20823994166937232,0.1546738371628353,0.07292593150712101,1.7463040869727493,-0.041857613169019675,-0.43087006087993446,-0.0730252389963131,-0.7013601944397129,-0.3650779110731472,-0.26941368317712006,0.3941493732564751,-0.5062018767070521,-0.4674193268932909,0.8148909686646784,-0.6984961488530255,0.17934763720141206,0.6574137358404679,-0.05073705636911018,-0.03367425192307907,-0.1383599237806609,-0.31794530435541457,-0.23190770210763176,-0.48187936876640614,-0.3430765238105291,-0.041369260520978585,-0.34503670758456567,-0.16992788021032704,-0.06857931066220922,1.3594792832918214,0.6525451446984977,-1.3579576489633347,0.2615346030219071,-0.08652521454651534,-0.7252131601451569,-0.20411868465890384,-0.23307662700390566,-0.37475075331080987,0
